id,wisata_id,nama,latitude,longitude,htm_weekday,htm_weekend,deskripsi,image,image2,image3,url_maps,alamat,operating_hours,rating,kategori,jeniswisata,jumlahrating,descitinerary,durasi,things
1,4,Gembira Loka Zoo,-7.8062344,110.3967977,60000,75000,"Gambira Loka adalah kebun binatang yang berada di Yogyakarta. Berisi berbagai macam spesies dari belahan dunia, seperti orangutan, gajah asia, simpanse, harimau, dan lain sebagainya. Kebun Binatang Gembira Loka menjadi daya tarik tersendiri bagi para wisatawan Yogyakarta. Gembira Loka Zoo sempat rusak parah akibat gempa bumi yang mengguncang kota Yogyakarta tahun 2006. Tetapi, setelah direnovasi Kebun Binatang Gembira Loka tetap dicari para wisatawan.",https://lh5.googleusercontent.com/p/AF1QipN_ZDFzdRK5l9xD37AQueOgiz9qRX06n_IA7IVA=w408-h272-k-no,https://joss.co.id/data/uploads/2018/11/gembira-loka-zoo-jogja.jpg,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2021/10/gl7.jpg,https://goo.gl/maps/qdXHygHVZwBr7Xo56,"Jl. Kebun Raya No.2, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55171",Senin-Minggu 08.00-16.00,4.5,Wisata Buatan,rekreasi,36337,Melihat flora dan fauna nusantara di Gembiraloka,2 Jam,melihat berbagai koleksi flora dan fauna nusantara dan abadikan momen bahagiamu disini
2,5,Keraton Yogyakarta,-7.8052845,110.3642031,8000,8000,"Kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas.",https://lh5.googleusercontent.com/p/AF1QipND8D1rsAt3wWXg0iSWkYjHUTSBmddSHKHBVEfP=w408-h544-k-no,https://asset.kompas.com/crops/8tJj4g1QDacH56GRrhPpQajWyYU=/0x0:1000x667/750x500/data/photo/2020/01/13/5e1c561b497dd.jpg,https://www.superlive.id/storage/superadventure/2021/01/11/b5707100ae88.png,https://goo.gl/maps/ZggVvD4h6yCNUTE77,"Jl. Rotowijayan Blok No. 1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta","Senin, Rabu (tutup). Kamis-Minggu 08.30-14.30 ",4.6,Wisata Budaya & Edukasi,budaya&sejarah,30091,Mempelajari budaya dan sejarah di Keraton,2 Jam,kunjungi setiap sudut bangunan keraton yogyakarta
3,15,Pantai Goa Cemara,-7.999423,110.248963,4000,4000,"Adalah Kawasan Wisata Terpadu, satu pintu dengan pembagian area yang jelas. Public area memang seperti diutamakan di pantai ini. Jajaran pedagang lokal berpadu dengan ramainya pasar tradisional. Dengan area cakupan luas meliputi wilayah konservasi penyu hijau, wilayah lahan pertanian, daerah wisata, dan pelestarian hutan cemara. Pasar tradisional, wisata pantai, outbond, camping ground, ruang pertemuan, atv, jip wisata offroad gumukpasir, kuliner, dan cinderamata. Dengan dukungan fasilitas publik yang lengkap dan terus berkembang. Fasilitas publik seperti MCK, kantor sekretariat, kantor keamanan, posko SAR, rumah ibadah, pos kesehatan juga tersedia.",https://lh5.googleusercontent.com/p/AF1QipPVZkx5msQDSbQy-GfCPNomL7fWxcv4iErNRs7u=w533-h240-k-no,https://www.wsrentaljogja.com/wp-content/uploads/2018/11/@aiyin_aiyin.jpg,https://www.pantainesia.com/wp-content/uploads/2018/08/pantai-goa-cemara-1248x703.jpg,https://goo.gl/maps/Hvf7iHB2pEs95LzY7,"Jl. Lintas Sel., Patihan, Gadingsari, Kec. Sanden, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55763",Buka 24 Jam,4.4,Wisata Alam,pantai,12755,Mengunjungi pantai yang ada di Bantul Pantai Goa Cemara,2 Jam,kunjungi pantai dengan kuliner lokal yang nikmat dan abadikan momen terbaikmu disini
4,49,Malioboro,-7.7982487,110.3652793,3000,3000,"Malioboro adalah jantung Kota Jogja. Meskipun terkenal sebagai surga belanja cendera mata dan barang kerajinan, ternyata tak sedikit wisatawan dan orang lokal mendatangi Malioboro pagi-pagi sekali untuk berolahraga atau sekedar menikmati udara segar sambil mencari sarapan",https://lh5.googleusercontent.com/p/AF1QipMMLhun9fE-K4yg82IirCisQOABidfFSlJ6-Z2b=w408-h271-k-no,https://sikidang.com/wp-content/uploads/Malioboro-Yogyakarta.jpg,https://www.nativeindonesia.com/foto/2018/09/Malioboro-Feature.jpg,https://goo.gl/maps/9EaZ1nrkqj7WeV9q9,"Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Buka 24 Jam,4.7,Wisata Belanja,belanja,3752,Menikmati suasana kota dan berbelanja di Malioboro,2 Jam,naik delman mengelilingi malioboro dan coba kuliner lokal yang ada disana
5,12,Sindu Kusuma Edupark (SKE),-7.7672973,110.3542486,30000,30000,"Sindu Kusuma Edupark merupakan wahana bermain berbasis edukasi dan hiburan untuk semua usia yang buka paling pagi dan tutup paling malam di Jogjakarta. Destinasi wisata ini menyuguhkan sebuah tempat bermain bagi keluarga yang lengkap dengan berbagai wahana permainan yang seru dan juga menantang. Wahana-wahana seperti Kora-Kora, Bianglala, Waterpark, dan Light Festival menjadi wahana terfavorit bagi para wisatawan. Selain itu tersedia juga restoran berkonsep Industrial Fun Cafe dengan harga yang murah dan terjangkau cocok untuk anda sekeluarga. Semua transaksi di Sindu Kusuma Edupark ini menggunakan kartu khusus yang bisa diperoleh di loket tiket, jadi tidak repot lagi mengeluarkan uang tunai. Selain wahana permainan, di SKE ini juga ada beberapa foto spot yang cukup bagus untuk dijadikan background foto.",https://lh5.googleusercontent.com/p/AF1QipMQimVfjETWFCYXhzNDuNef6mEQpwNQgBWvkgi7=w408-h541-k-no,https://asset.kompas.com/crops/4lBDhnqpnU8yXbnCn3Kb8FhWW5Y=/151x141:676x491/750x500/data/photo/2022/12/21/63a317160291d.png,https://www.anekawisata.com/wp-content/uploads/2019/01/Sindu-Kusuma-Edupark-Jogja.jpg,https://goo.gl/maps/dsH4tFeouksFYWyL6,"Jl. Jambon, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Selasa-Minggu 08.00-18.00,4.2,Wisata Buatan,rekreasi,15279,Rekreasi menikmati berbagai wahana di SKE,1 Jam,coba seluruh keseruman wahana yang tersedia disini
6,29,Agro Tourism Bhumi Merapi,-7.6400756,110.4264098,30000,30000,"Agrowisata Bhumi Merapi Yogyakarta. Tempat wisata yang terletak di daerah Kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya. Dibangun pada tahun 2015 dengan luas 5,2 hektar. Tempat wisata ini menawarkan konsep pertanian, perkebunan, dan peternakan. Jadi, selain liburan para pengunjung pun bisa mendapatkan banyak ilmu. Suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama-lama disana. Berbagai aktivitas wisata bisa dilakukan di tempat wisata ini. Utamanya kegiatan-kegiatan yang berhubungan dengan pertanian, peternakan dan perkebunan. Berikut beberapa diantaranya. Identik dengan wisata edukasi, taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya. Diantaranya kambing dan kelinci. Kambing yang dipelajari adalah jenis kambing Ettawa. Kegiatan yang dilakukan diantaranya adalah memerah susu kambing, memberikan susu dot bagi anak kambing, mengolah susu untuk dijadikan yogurt dan ice cream,  pengolahan pakan ternak, dan pengolahan kotoran kambing menjadi pupuk organik dan biogas. Sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging. Dan pengunjung juga bisa memberi makan kepada kelinci. Selain itu, ada juga binatang berjenis reptile yang dipelihara disini seperti ular, kura-kura, dan reptile lainnya yang dapat digunakan sebagai sarana edukasi.",https://lh5.googleusercontent.com/p/AF1QipPwdGJ3sdmyWpuITsuLvU5l2CctLM14cjzgG3T5=w408-h544-k-no,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/Agrowisata-Bhumi-Merapi-Yogyakarta.jpg,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/Agrowisata-Bhumi-Merapi-Yogyakarta.jpg,https://goo.gl/maps/jntwSAPbNeoLsQkf9,"Jl. Kaliurang No.Km.20, Sawungan, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Senin-Minggu 09.00-17.00,4.5,Wisata Buatan,rekreasi alam,7697,Mengunjungi Agro Wisata di Bhumi Merapi,1 Jam,kunjungi dan abadikan momenmu disini
7,69,Kids Fun Park (Pusat),-7.827611573,110.4413491,90000,90000,Kids Fun merupakan wahana atau tempat bermain untuk anak-anak,https://lh5.googleusercontent.com/p/AF1QipMzHIty6CPGnm183IRVRcXfj2qe2y9BOQexSXjz=w427-h240-k-no,https://cdn2.tstatic.net/travel/foto/bank/images/pengunjung-nyobain-wahana-blaster-boat-di-kids-fun-jogja.jpg,https://mytrip123.com/wp-content/uploads/2022/06/Kids-Fun-Jogja.jpg,https://goo.gl/maps/MQc6MTiJy5eJbjQa9,"Jl. Wonosari No.KM 10, Asem Ngecis, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792",Senin-Minggu 09.00-17.00,4.4,Wisata Buatan,rekreasi,2314,Rekreasi permainan wahana di Kids Fun,2 Jam,jelajahi seluruh wahana yang ada di Kids Fun
8,43,Pantai Indrayanti,-8.1508415,110.6129852,12000,12000,"Pantai kecil berpasir putih yang dikelilingi pepohonan dan bebatuan besar, serta beragam restoran & pertokoan",https://lh5.googleusercontent.com/p/AF1QipPOblsaPHUWRM2LEmq0TeNtjYOYz0Klo7O25cfv=w411-h240-k-no,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/pantai-indrayanti-ii.jpg,https://sikidang.com/wp-content/uploads/Pantai-Indrayanti-Yogyakarta.jpg,https://goo.gl/maps/7W6LCxB7vrtMvavZA,"Ngasem, Sidoharjo, Kec. Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.4,Wisata Alam,pantai,4793,Menikmati keindahan pantai Indrayanti,2 Jam,nikmati keindahan pantai dan abadikan momen terbaikmu disini
9,1,Candi Borobudur,-7.607086854,110.2036226,50000,50000,Candi yang pernah masuk sebagai salah satu dari Tujuh Keajaiban Dunia ini dihiasi oleh banyak relief di dinding candi. Relief yang ada di Candi Borobudur mencapai 2.672 dan panjangnya bisa mencapai 6 kilometer,https://fatek.umsu.ac.id/wp-content/uploads/2023/06/Candi-Borobudur-Makna-Yang-Terkandung-di-Dalamnya.jpg,https://fatek.umsu.ac.id/wp-content/uploads/2023/06/Candi-Borobudur-Makna-Yang-Terkandung-di-Dalamnya.jpg,https://akcdn.detik.net.id/visual/2020/11/30/kpc-pen_169.jpeg?w=650,https://goo.gl/maps/z6yxeLnucA2xHAY97,"Jl. Badrawati, Kw. Candi Borobudur, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah",Senin-Minggu 06.30-16.30,4.7,Wisata Budaya & Edukasi,candi,81922,Menjelajahi keindahan dan keunikan Candi Borobudur,2 Jam,"jelajahi seluruh area candi, coba kuliner lokal disana dan caoba naik kendaraan wisata untuk keliling candi"
10,89,Lava Tour Merapi,-7.5934503,110.4316004,350000,350000,Lava Tour Merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di Yogyakarta. Lava Tour Merapi adalah istilah untuk tur wisata kawasan terdampak erupsi Gunung Merapi tahun 2010. Tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep. Kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi. Ada berbagai macam paket yang disediakan.,https://lh5.googleusercontent.com/p/AF1QipPxEkuJ3I1zKHOB8u1X0cXaOsJNei9WiRNgB6Qr=w426-h240-k-no,https://bob.kemenparekraf.go.id/wp-content/uploads/2019/10/lava-tour.jpg,https://lavatourmerapijogja.com/wp-content/uploads/2019/07/lava-tour-merapi-jogja-12-1024x818.jpg,https://goo.gl/maps/EpeQf4Dv3M4TxrJp8,"Jl. Tlogo Putri, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",Senin-Minggu 06.00-17.00,4.6,Wisata Alam,rekreasi,1300,Rekreasi dengan jeep di Lava Tour,2 Jam,"coba keseruan menjelajahi area merapi dengan jeep, dan abadikan momen bahagiamu"
11,130,Jogja Exotarium,-7.728816,110.358356,25000,25000,"Di Mini Zoo Jogja Exotarium pengunjung dapat menyaksikan aneka satwa seperti reptil, hewan nocturnal, kelinci. Pengunjung dapat pula melakukan aktivitas seperti memancing, belajar berkuda atau memanah. Selain itu terdapat pula berbagai spot selfie, playground anak atau outbound. .Kehadiran Mini Zoo Jogja Exotarium yang dikemas sebagai taman wisata edukasi diharapkan menjadi wahana pengetahuan tentang satwa atau binatang.",https://lh5.googleusercontent.com/p/AF1QipNTdmKUtvU1eFYFntCToHdaJQpqIdJzoDcX18q3=w480-h240-k-no,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2021/04/83812111_620350338732426_1566023153756427316_n.jpg,https://www.anekawisata.com/wp-content/uploads/2022/10/Jogja-Exotarium-Mini-Zoo.jpg,https://goo.gl/maps/jbqYdzatjcNifSKd8,"Jl. Kabupaten No.99 Duwet, Duwet, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",Senin-Minggu 08.00-17.00,4.4,Wisata Buatan,rekreasi,746,Mengunjungi kebun binatang mini di Exotarium,1 Jam,lihat flora dan fauna yang menarik dan abadikan foto terbaikmu disini
12,42,Taman Pintar Yogyakarta,-7.799757357,110.3678697,20000,20000,"Taman Pintar Yogyakarta adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. tempat rekreasi ini sangat baik untuk anak-anak dalam masa perkembangan. taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi",https://lh5.googleusercontent.com/p/AF1QipPRAAuWmpZGGTSnXF-n20KJCzJ1DFs5k4y3QrfC=w408-h306-k-no,https://www.pegipegi.com/travel/wp-content/uploads/2018/05/taman-pintar3.jpg,https://asset-2.tstatic.net/jogja/foto/bank/images/taman-pintar_6d5dg_20151216_224910.jpg,https://goo.gl/maps/A7aVGNSxjV1njfxD8,"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Senin-Minggu 08.30-16.00,4.5,Wisata Budaya & Edukasi,rekreasi,4846,Mempelajari berbagai wahana ilmu pengetahuan di Taman Pintar,1 Jam,jelajahi semua wahana dan nikmati wisata dengan edukasi yang tersedia
13,40,Taman Wisata Kaliurang,-7.598797,110.42636,8000,8000,"Taman Wisata Kaliurang dapat menjadi referensi wisata akhir pekan keluarga. Pemandangan sekitar sangatlah indah, masih banyak pepohonan yang tumbuh tinggi menjulang. Ditambah lagi pemandangan puncak Gunung Merapi yang gagah. Selain itu, udara di sekitar pun masih sangat sejuk. Aroma asap kendaraan bermotor pun tidak tercium di kawasan ini. Berada di sini membuat paru – paru menjadi lebih sehat. Banyak wisatawan yang datang bersama keluarga. Duduk santai beralaskan tikar di atas rerumputan sambil bercengkerama dengan keluarga. Ditambah lagi, suasana yang sangat mendukung untuk beramah – tamah. Selain menyuguhkan pemandangan yang indah, Taman Wisata Kaliurang pun memiliki wahana outbound. Seperti flying fox hingga rumah pohon Ridz High Rope.",https://lh5.googleusercontent.com/p/AF1QipPx-wkbeawuQGS2xkfYS-aghaHQie-H47RFAsNB=w408-h543-k-no,https://statik.tempo.co/data/2023/04/20/id_1198605/1198605_720.jpg,https://2.bp.blogspot.com/-1sMqn1DVjXE/Vxrw0biCigI/AAAAAAAACOA/x1ezVWf6DDAcxxWnrxmgz_KLXfNu00ylACLcB/s1600/goa%2Bjepang%2B%25282%2529.png,https://goo.gl/maps/U7ZgEAoFNvhBjWJX9,"CC2G+HJX, Kaliurang Barat, Kaliurang, Hargobinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582",Senin-Minggu 08.00-17.00,4.4,Wisata Buatan,rekreasi,5217,Menikmati keindahan gunung merapi di Taman Wisata Kaliurang,1 Jam,abadikan momen terbaikmu disini dan coba kuliner lokal yang tersedia
14,122,Desa Wisata Gamplong,-7.8055232,110.2374676,1000,1000,"Berada di Kabupaten Sleman, tepatnya 16 kilometer dari titik nol Yogyakarta. Tempat wisata yang sering dijuluki mini Hollywood ini menawarkan berbagai desain bangunan unik. Sangat cocok bagi wisatawan yang menyukai fotografi.",https://lh5.googleusercontent.com/p/AF1QipNLtLLBVjNaUS-Rg0nFEJjCgcldwla6ZAqqm7tH=w408-h306-k-no,https://ik.imagekit.io/tvlk/blog/2020/03/Desa-Wisata-Gamplong-Tribunnews.jpg,https://asset.kompas.com/crops/uBUkyi9cqqJZfHjRhj6DKnYllE4=/0x0:1800x1200/750x500/data/photo/2022/09/18/6326c4ee627d0.jpg,https://goo.gl/maps/HNHTyTrU3LGbHw2h7,"Gamplong Moyudan, Dukuh, Sumberrahayu, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55563",Senin-Minggu 07.00-17.00,4.4,Wisata Budaya & Edukasi,desa wisata,841,Mengunjungi desa wisata dengan properti film yang menarik,1 Jam,melihat keindahan bekas syuting film sutradara hanung dan abadikan momen terbaikmu bersama keluarga
15,2,Candi Prambanan,-7.751834561,110.4915318,50000,50000,"Candi Prambanan adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu Brahma sebagai dewa pencipta, Wisnu sebagai dewa pemelihara, dan Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan.",https://blog.tiket.com/wp-content/uploads/2021/01/Candi-Prambanan-3.jpg,https://www.yogyes.com/id/yogyakarta-tourism-object/candi/prambanan/1.jpg,https://www.wsrentaljogja.com/wp-content/uploads/2016/08/feedjogja.jpg,https://goo.gl/maps/XGe9tt6GEH3F9t9V6,"Jl. Raya Solo - Yogyakarta No.16, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Senin-Minggu 06.30-17.00,4.7,Wisata Budaya & Edukasi,candi,71751,Menjelajahi keindahan dan keunikan Candi Prambanan,2 Jam,kunjungi seluruh area candi dan abadikan momen terbaikmu bersama keluarga